Key,Description,Standard,JP,IT
SAY.gameLocalization.112.Mysterious voice,,"The latter sounds somuch FUN isn`t it! Burn baby, burn!",こいつを使えば化け物たちも燃やし尽くせるぜ！ぜーんぶ燃やしちまえ！,"Questa cosa è così divertente! Brucia, bella lanterna, brucia!"
SAY.gameLocalization.52.,,*strange sound*,*奇妙な音*,*suono sinistro*
SAY.gameLocalization.51.Anne,,"Stop it, stop it NOW. Who are you?",やめて、やめてってば！誰なの？,"Finiscila, per favore! Chi sei tu?"
SAY.gameLocalization.50.Mysterious voice,,"Yay! A checkpoint! Get more excited little girl, if you check this by pressing the“E Key”, you can get new candles and also start from this point when you get overwhelmed by the darkness and...","おぉ！チェックポイントじゃないか！喜べ嬢ちゃん、""B""ボタンで調べればロウソクを補充できるし、万が一闇に飲まれちまってもまたここから…","Evviva, un checkpoint! Forza, divertiti bambina! Se lo attivi premendo il tasto ""E"" riceverai delle nuove candele e ricomincerai da questo punto nel caso l'oscurità ti prendesse e…"
SAY.gameLocalization.49.Mysterious voice,,...oopsies.,おっと…喋りすぎたかな。,Ops!
SAY.gameLocalization.47.Mysterious voice,,Anyway...,とにかく…,Ad ogni modo…
SAY.gameLocalization.46.Mysterious voice,,...the sound will let you know that you`ve checked it or not so be careful with it.,…調べたら音がなるから気をつけたほうがいいぜ。,"…il suono ti farà capire se lo hai ottivato o meno, cerca di farci caso!"
SAY.gameLocalization.43.,,This is a blue lever,またレバー…今回は青いの。,Questa è una leva blu.
SAY.gameLocalization.42.,,This is a yellow lever,今度は黄色？何個あるの？,Questa è una leva gialla
SAY.gameLocalization.41.,,This is a red lever,赤い、レバー？なにかおきたのかな…,Questa è una leva rossa.
SAY.gameLocalization.73.,,Mom used to lit the fireplace with 3 pieces of wood... ,ママはいつも３つの薪で暖炉をつけてたはず…,Mamma lo accendeva il camino con 3 pezzi di legno.
SAY.gameLocalization.74.,,I need it lit so,早く火をつけてあの子を追い払わないと…,Devo accenderlo…
 I can scare away the cat and get its object...,,,,Posso spaventare il gatto e recuperare l'oggetto.
SAY.gameLocalization.77.,,F-found one! ,い、一個あった！,L'ho…l'ho trovato…
SAY.gameLocalization.84.,,mmm... here says I have to put the right numbers.,んん…番号を当てればいいのかな？,"Mmmh, qui dice che devo inserire i numeri giusti."
SAY.gameLocalization.326.,,Maybe...,多分…,Forse...
MENU.gameLocalization.274,,0,,
MENU.gameLocalization.273,,1,,
MENU.gameLocalization.272,,2,,
MENU.gameLocalization.271,,3,,
MENU.gameLocalization.270,,4,,
MENU.gameLocalization.299,,5,,
MENU.gameLocalization.269,,6,,
MENU.gameLocalization.300,,7,,
MENU.gameLocalization.268,,8,,
MENU.gameLocalization.327,,9,,
SAY.gameLocalization.325.,,I-it's just a painting...,ただの…絵だよね…,S-solo un dipinto…è solo un dipinto…
SAY.gameLocalization.114.,,*strange sound*,*奇妙な音*,*suono sinistro*
SAY.gameLocalization.118.Mysterious voice,,"Oh, just a reminder, be careful with those flying books...",あ、忠告なんだが、ここらのそらとぶ本には気をつけろよ…,Ah e…stai attenta ai libri volanti!
SAY.gameLocalization.120.Anne,,What? Books don`t fly though!,え？本は飛ばないもん！,I cosa?! I libri non volano.
SAY.gameLocalization.238.Mysterious voice,,Well you saw those lamps try attacking you right? Don`t   believe with thosecommon sense in this house.,ランプとかが襲ってきただろ？ここの中では常識なんて捨てちまいな。,"Hai visto le lampade che provano ad attaccarti, giusto? Non confidare nel buon senso in questa casa."
SAY.gameLocalization.96.Anne,,"Weep, weep, snifle...",えーん、えーん、グスっ…,*pianto e singhiozzo*
SAY.gameLocalization.97.Anne,,"Asuka... don't leave me alone... where are you, Asuka?",アスカ…私を一人にしないで…どこにいるの、アスカ？,"Asuka…non lasciarmi sola…dove sei, Asuka?"
SAY.gameLocalization.98.Anne,,You are my only and best friend... *sniffle* i'm so lonely...,私の唯一の親友だと思ってたのに…グスっ、一人は寂しいよ…,Sei la mia unica amica…mi sento così sola…
SAY.gameLocalization.99.Anne,,I'm scared... {i}They{/i} are going to come again...,怖いよ… {i}あれ{/i}がまた来ちゃうよ…,Ho paura! Loro…loro stanno arrivando di nuovo!
SAY.gameLocalization.100.Anne,,You are such a meanie! You know I can't sleep without you...,もう！アスカのいじわる！あなたがいないと眠れないの知ってるくせに…,Sei proprio cattiva! Lo sai che non riesco ad addormentarmi senza di te…
SAY.gameLocalization.101.Anne,,"We're the ""Awesome Sister of Justice""! Remember, Asuka?\nWe will win believing in the magic of our heart, like Mahou Shojo always says!","私達は二人で""正義の姉妹""なんだから。覚えてないの？二人でいればどんな敵も怖くないって魔法少女たちも言ってたじゃない。","Noi siamo le ""Fantastiche Sorelle della Giustizia""! Ricordi, Asuka? Vinceremo credendo nella magia dei nostri cuori, come dice sempre Mahou Shojo!"
SAY.gameLocalization.239.Anne,,"If you are going to play hide and seek , I wiil not give up until I find you...!",あ、もしかしてかくれんぼなの？もしそうなら絶対見つけるわ…！,"Se giocherai a nascondino, non mi arrenderò finché non ti trovo…!"
SAY.gameLocalization.103.Anne,,"Wait for me Asuka, i will save you now... my precious little friend!",待ってなさいアスカ、絶対探し出して見せるわ…私の大切な小さな友達！,"Aspettami Asuka, ti salverò…mia piccola amica!"
SAY.gameLocalization.104.Anne,,...,…,…
SAY.gameLocalization.105.Mysterious voice,,Hey little girl! It seems like {i}they{/i} started moving again.,やぁ嬢ちゃん！どうやら {i}あれ{/i}がまた動き出したみたいだぜ。,"Hey, bambina! Sembra che loro abbiano ricominciato a muoversi."
SAY.gameLocalization.106.Anne,,Ahh! What is happening...?,うっ..！なにがおきてるの…？,Ahh! Che sta succedendo...?
SAY.gameLocalization.107.Mysterious voice,,"What is going to happen you say? Ahah, just some interesting adventure of finding your precious little doll.",何がおきるってか？そりゃあ、楽しい楽しい人形探しの旅だろうさ。,"Che cosa succederà dici? Ahaha, giusto qualche interessante avventura per trovare la tua preziosa bambola."
SAY.gameLocalization.207.,,*{i}Strange sound{/i}*,*{i}奇妙な音{/i}*,*suono sinistro*
SAY.gameLocalization.208.,,{w}A-a lever...? {w=2},{w}レ、レバー...? {w=2},U-una leva...?
SAY.gameLocalization.205.,,I wonder what it does... ,なにか変わったのかな…?,Mi chiedo a cosa serva…
MENU.gameLocalization.170,,0,,
MENU.gameLocalization.171,,1,,
MENU.gameLocalization.172,,2,,
MENU.gameLocalization.173,,3,,
MENU.gameLocalization.174,,4,,
MENU.gameLocalization.175,,5,,
MENU.gameLocalization.179,,6,,
MENU.gameLocalization.176,,7,,
MENU.gameLocalization.177,,8,,
MENU.gameLocalization.178,,9,,
MENU.gameLocalization.152,,0,,
MENU.gameLocalization.153,,1,,
MENU.gameLocalization.154,,2,,
MENU.gameLocalization.155,,3,,
MENU.gameLocalization.127,,4,,
MENU.gameLocalization.157,,5,,
MENU.gameLocalization.180,,6,,
MENU.gameLocalization.158,,7,,
MENU.gameLocalization.159,,8,,
MENU.gameLocalization.160,,9,,
MENU.gameLocalization.209,,0,,
MENU.gameLocalization.144,,1,,
MENU.gameLocalization.145,,2,,
MENU.gameLocalization.146,,3,,
MENU.gameLocalization.147,,4,,
MENU.gameLocalization.150,,5,,
MENU.gameLocalization.117,,6,,
MENU.gameLocalization.148,,7,,
MENU.gameLocalization.149,,8,,
MENU.gameLocalization.151,,9,,
SAY.gameLocalization.196.,,Mmm... there is something written in here. ,んん？なにか書いてある…,Mmm…qui c'è scritto qualcosa…
SAY.gameLocalization.197.,,"""Full moon + Rubbit = Firewood""","""まんげつ+うさぎ＝薪""",Luna piena + coniglio = legname
SAY.gameLocalization.211.,,Better think hard little girl.,これは頭使いそうだな、嬢ちゃん！,"Meglio pensare attentamente, piccola bambina."
SAY.gameLocalization.199.,,"I hate riddles, they are so boooooring.",なぞなぞ苦手なのに、つまんなーい。,"Odio gli indovinelli, sono così noiooooosi!"
SAY.gameLocalization.227.,,(I believed that I can do fighting from the moon when I was little. I`m a big girlnow!),（昔はお月様まで飛べると思ってたなぁ。もう成長したもんね！）,"(Quando ero una bambina credevo di poter combattere sulla luna, sono una bambina grande ora!)"
SAY.gameLocalization.231.,,"Ay! You got it, little girl! Here`s the wood.",お！正解だぞ！これをくれてやる。,Evviva! Ce l'hai fatta ragazzina! Ecco il legname.
SAY.gameLocalization.221.,,(What is this? It doesn`t look too cute...but I like the colours!),（なんだろうこれ？あまり可愛くはないけど…色が鮮やかだわ。){w}{w=0.1},(Che cos'è? Non sembra molto carino…ma mi piacciono i colori!)
SAY.gameLocalization.222.,,"SURPRISE!! This isn`t the right one, little girl. Think harder, think, think!",残～念!!これは違うぜ。もっと頭を使いな、嬢ちゃん！{w}{w=0.1},"SORPRESA!! Questo non è quello giusto, ragazzina. Pensa più intensamente…pensa pensa!"
SAY.gameLocalization.217.,,(I always dreamt of going to the moon with mommy...),(ママとお月様に行く夢をよく見てたなぁ...){w}{w=0.1},(Ho sempre sognato di andare sulla luna con la mamma…)
SAY.gameLocalization.218.,,"SURPRISE!! This isn`t the right one, little girl. Think harder, think, think!",残～念!!これは違うぜ。もっと頭を使いな、嬢ちゃん！{w}{w=0.1},"SORPRESA!! Questo non è quello giusto, ragazzina. Pensa più intensamente…pensa pensa!"
SAY.gameLocalization.213.,,(This flower looks like the one that daddy gave to mommy on her birthday. Itlooks so cute.),(このお花パパがママに昔あげてたのに似てる。すごくかわいいなぁ。) {w}{w=0.1},(Questo fiore sembra quello che papà ha regalato a mamma il giorno del suo compleanno. È così carino.)
SAY.gameLocalization.214.,,"SURPRISE!! This isn`t the right one, little girl. Think harder, think, think!",残～念!!これは違うぜ。もっと頭を使いな、嬢ちゃん！{w}{w=0.1},"SORPRESA!! Questo non è quello giusto, ragazzina. Pensa più intensamente…pensa pensa!"
SAY.gameLocalization.236.,,“486”. Is there somewhere to enter some numbers?,"""486""…なんの数字だろうこれ…？","""486"". Dove potrei inserire questi numeri?"
SAY.gameLocalization.241.Anne,,?!...,?!...,?!...
SAY.gameLocalization.124.Tofu,,"Woof! grrrrr, woof woof!",ワン！ガルルルルゥ、ワン！,"Woof, grrrrr, woof woof!"
SAY.gameLocalization.128.Anne,,Don`t hurt me anymore!,もう私を傷つけないで！,Non farmi più del male!
SAY.gameLocalization.290.,,*{i}Strange sound{/i}*,*{i}奇妙な音{/i}*,*suono sinistro*
SAY.gameLocalization.297.,,{w}A-a lever...? {w=2},{w}レ、レバー...? {w=2},U-una leva…?
SAY.gameLocalization.288.,,I wonder what it does... ,なにか変わったのかな…?,Mi chiedo a cosa serva…
MENU.gameLocalization.264,,0,,
MENU.gameLocalization.263,,1,,
MENU.gameLocalization.262,,2,,
MENU.gameLocalization.261,,3,,
MENU.gameLocalization.260,,4,,
MENU.gameLocalization.259,,5,,
MENU.gameLocalization.258,,6,,
MENU.gameLocalization.257,,7,,
MENU.gameLocalization.256,,8,,
MENU.gameLocalization.255,,9,,
MENU.gameLocalization.282,,0,,
MENU.gameLocalization.281,,1,,
MENU.gameLocalization.280,,2,,
MENU.gameLocalization.279,,3,,
MENU.gameLocalization.295,,4,,
MENU.gameLocalization.278,,5,,
MENU.gameLocalization.267,,6,,
MENU.gameLocalization.277,,7,,
MENU.gameLocalization.276,,8,,
MENU.gameLocalization.275,,9,,
MENU.gameLocalization.298,,0,,
MENU.gameLocalization.294,,1,,
MENU.gameLocalization.293,,2,,
MENU.gameLocalization.292,,3,,
MENU.gameLocalization.291,,4,,
MENU.gameLocalization.284,,5,,
MENU.gameLocalization.296,,6,,
MENU.gameLocalization.286,,7,,
MENU.gameLocalization.285,,8,,
MENU.gameLocalization.283,,9,,
SAY.gameLocalization.304.,,Mmm... there is something written in here. ,んん？なにか書いてある…,Mmm…qui c'è scritto qualcosa…
SAY.gameLocalization.303.,,"""Full moon + Rubbit = Firewood""","""まんげつ+うさぎ＝薪""",Luna piena + coniglio = legname
SAY.gameLocalization.320.,,Better think hard little girl.,これは頭使いそうだな、嬢ちゃん！,"Meglio pensare attentamente, piccola bambina."
SAY.gameLocalization.301.,,"I hate riddles, they are so boooooring.",なぞなぞ苦手なのに、つまんなーい。,"Odio gli indovinelli, sono così noiooooosi!"
SAY.gameLocalization.310.,,(I believed that I can do fighting from the moon when I was little. I`m a big girlnow!),（昔はお月様まで飛べると思ってたなぁ。もう成長したもんね！）,"(Quando ero una bambina credevo di poter combattere dalla luna, sono una bambina grande ora!)"
SAY.gameLocalization.307.,,"Ay! You got it, little girl! Here`s the wood.",お！正解だぞ！これをくれてやる。,Evviva! Ce l'hai fatta ragazzina! Ecco il legname.
SAY.gameLocalization.313.,,(What is this? It doesn`t look too cute...but I like the colours!),（なんだろうこれ？あまり可愛くはないけど…色が鮮やかだわ。){w}{w=0.1},(Che cos'è? Non sembra molto carino…ma mi piacciono i colori!)
SAY.gameLocalization.312.,,"SURPRISE!! This isn`t the right one, little girl. Think harder, think, think!",残～念!!これは違うぜ。もっと頭を使いな、嬢ちゃん！{w}{w=0.1},"SORPRESA!! Questo non è quello giusto, ragazzina. Pensa più intensamente…pensa pensa!"
SAY.gameLocalization.316.,,(I always dreamt of going to the moon with mommy...),(ママとお月様に行く夢をよく見てたなぁ...){w}{w=0.1},(Ho sempre sognato di andare sulla luna con la mamma…)
SAY.gameLocalization.315.,,"SURPRISE!! This isn`t the right one, little girl. Think harder, think, think!",残～念!!これは違うぜ。もっと頭を使いな、嬢ちゃん！{w}{w=0.1},"SORPRESA!! Questo non è quello giusto, ragazzina. Pensa più intensamente…pensa pensa!"
SAY.gameLocalization.319.,,(This flower looks like the one that daddy gave to mommy on her birthday. Itlooks so cute.),(このお花パパがママに昔あげてたのに似てる。すごくかわいいなぁ。) {w}{w=0.1},(Questo fiore sembra quello che papà ha regalato a mamma il giorno del suo compleanno. È così carino.)
SAY.gameLocalization.318.,,"SURPRISE!! This isn`t the right one, little girl. Think harder, think, think!",残～念!!これは違うぜ。もっと頭を使いな、嬢ちゃん！{w}{w=0.1},"SORPRESA!! Questo non è quello giusto, ragazzina. Pensa più intensamente…pensa pensa!"
SAY.gameLocalization.331.,,Ahh...,んっ…！,Ahh…
SAY.gameLocalization.332.,,...Meow!!,...にゃあ！,…Meow!!
SAY.gameLocalization.333.,,Please don`t come near me...!,私から離れて...！,"Per favore, non ti avvicinare!!"
SAY.gameLocalization.329.,,“486”. Is there somewhere to enter some numbers?,,"""486"". Dove potrei inserire questi numeri?"
SAY.gameLocalization.128.,,Don`t hurt me anymore!,もう私を傷つけないで！,Non farmi più del male!
SAY.gameLocalization.124.,,"Woof! grrrrr, woof woof!",ワン！ガルルルルゥ、ワン！,"Woof, grrrrr, woof woof!"
CHARACTER.Anne,,Anne,アン,Anne
SAY.gameLocalization.66.,,"If you can figure out what an E key is, ahahah.",まぁ、Bボタンってのがなにかわかればいいな（笑）,"Se riesci a capire cosa è il tasto E, ahahah!"
SAY.gameLocalization.47.,,Anyway...,とにかく…,Ad ogni modo…
SAY.gameLocalization.9.,,Concerned with the things around yourself?,周りの物で気になるものはあるかい？,Ti preoccupano gli oggetti intorno a te?
SAY.gameLocalization.4.,,"The voices, again... oh, nooo!",また、あの声が… やめてぇええ！,"Le voci, di nuovo…oh nooo!"
SAY.gameLocalization.46.,,...the sound will let you knowthat you`ve checked it or not so be careful with it.,…調べたら音がなるから気をつけたほうがいいぜ。,"…il suono ti farà capire se lo hai ottivato o meno, cerca di farci caso!"
SAY.gameLocalization.49.,,...oopsies.,おっと…喋りすぎたかな。,Ops!
SAY.gameLocalization.50.,,"Yay! A checkpoint! Get more excited little girl, if you check this by pressing the“E Key”, you can get new candles and also start from this point when you getoverwhelmed by darkness and...","おぉ！チェックポイントじゃないか！喜べ嬢ちゃん、""B""ボタンで調べればロウソクを補充できるし、万が一闇に飲まれちまってもまたここから…","Evviva, un checkpoint! Forza, divertiti bambina! Se lo attivi premendo il tasto ""E"" riceverai delle nuove candele e ricomincerai da questo punto nel caso l'oscurità ti prendesse e…"
SAY.gameLocalization.51.,,"Stop it, stop it NOW. Who are you?",やめて、やめてってば！誰なの？,"Fermati, fermati ho detto! Chi sei tu?"
SAY.gameLocalization.53.,,"You can use it the same way as the candle by pressing the “Space bar”but with this one, you can shine it up and downwards too!","ロウソクと同じで、""R1""を押すことで使えるんだが、こいつの場合は""右スティック""で明かりを上下に向けることができるぞ！","La puoi utilizzare nello stesso modo della candela: premi la barra spaziatrice per accenderla. Con la lanterna potrai illuminare anche sopra e sotto di te con i tasti ""W"" e ""S""!"
SAY.gameLocalization.54.,,"That`s a very cool lantern, indeed! Press the “shift key” to change with thecandle.","かっこいいランタンだな！""L1""ボタンを押してロウソクと交換してみようぜ。","Questa è una fantastica lanterna! Premi il tasto ""Shift"" per scambiarla con la candela."
SAY.gameLocalization.55.,,"The voices, again... oh, no! Stop it, stop it NOW. Who the hell are you?",またこの声…もういい加減にして！誰なのよ…,"Le voci, ancora…oh,no! Lasciami stare, fermati! Chi diavolo sei?"
SAY.gameLocalization.57.,,"Try pressing “E   Key”, this time in front of that bookshelf.","本棚の前で""B""ボタンを押してみな。","Prova a premere il tasto ""E"" davanti alla libreria."
SAY.gameLocalization.58.,,Wow that hole is massive! It seems like the only way to go past this is to climbup that bookshelf. ,でっけぇ穴だな！ここを通るには本棚の上を渡るしかなさそうだな。,Wow! Questa voragine è enorme. Sembra che l'unico modo per sorpassarla sia salendo sulla libreria.
SAY.gameLocalization.59.,,"Stop talkng in my ead, please i beg you...",もう頭の中に話しかけないで、お願いだから…,"Smettila di parlare nella mia testa, ti prego…"
SAY.gameLocalization.61.,,"But after all, she is just a candle, so make sure not to use too much or else you will find yourself alone in the middle of no where... hehe.",だが所詮ロウソクだ、使いすぎたら当然おさらばだ。だから気をつけて使うんだな。,Ma in fin dei conti è solo una candela… stai attenta a non abusarne altrimenti ti ritroverai in mezzo al nulla…hehe.
SAY.gameLocalization.62.,,"Press ""spacebar"" to light your little candle. she will be the only thing you can trust now, hopefully she will show you the truth.","Press ""R1"" button to light your little candle. She will be the only thing you can trust now, hopefully she will show you the truth.","Premi la barra spaziatrice per accendere la tua piccola candela. Sarà l'unica cosa di cui ti potrai fidare ora, affidati a lei per scoprire la verità dietro questa magione."
SAY.gameLocalization.63.,,It's so damn dark in here isn't it?,この部屋めっちゃ暗いな。,"È molto buio qui, non è vero?"
SAY.gameLocalization.64.,,"Stop it, stop it NOW! Who are you?",やめて、やめてってば！誰なの？,"Fermati, fermati ho detto! Chi sei tu?"
SAY.gameLocalization.238.,,Well you saw those lamps try attacking you right? Don`t   believe with thosecommon sense in this house.,ランプとかが襲ってきただろ？ここの中では常識なんて捨てちまいな。,"Hai visto le lampade che provano ad attaccarti, giusto? Non confidare nel buon senso in questa casa."
SAY.gameLocalization.120.,,What? Books don`t fly though!,え？本は飛ばないもん！,I cosa?! I libri non volano.
SAY.gameLocalization.112.,,"The latter sounds somuch FUN isn`t it! Burn baby, burn!",,"Questa cosa è così divertente! Brucia, bella lanterna, brucia!"
SAY.gameLocalization.107.,,"What is going to happen you say? Ahah, just some interesting adventure of finding your precious little dool.",何がおきるってか？そりゃあ、楽しい楽しい人形探しの旅だろうさ。,"Che cosa succederà dici? Ahaha, giusto qualche interessante avventura per trovare la tua preziosa bambola."
SAY.gameLocalization.101.,,"We're the ""AwesomeSister of Justice""! Remember, Asuka?\nWe will win beliving in the magic of our heart, like mahout shojo always says!","私達は二人で""正義の姉妹""なんだから。覚えてないの？二人でいればどんな敵も怖くないって魔法少女たちも言ってたじゃない。","Noi siamo le ""Fantastiche Sorelle della Giustizia""! Ricordi, Asuka? Vinceremo credendo nella magia dei nostri cuori, come dice sempre Mahou Shojo!"
SAY.gameLocalization.118.,,"Oh, just a reminder, be careful with those flying books...",あ、忠告なんだが、ここらのそらとぶ本には気をつけろよ…,Ah e…stai attenta ai libri volanti!
SAY.gameLocalization.111.,,"Some bookshelf will let you climb up but some will...Never mind, let`s keep thisa surprise, hehe.",本棚によっては登れることがある。まぁ時にはやつらが…　いや、これはサプライズにとっておこう（笑）,"Alcune librerie si lasceranno scalare ma altre… Lasciamo stare, non voglio rovinarti la sorpresa, hehe."
SAY.gameLocalization.109.,,"Try pressing the ""E key"" to know more about it or active some stuff.","""B""ボタンを押して詳しく調べることができるぞ。","Prova a premere il tasto ""E"" per saperne di più o attivare gli oggetti."
SAY.gameLocalization.106.,,Ahh! What is happening...?,うっ..！なにがおきてるの…？,Ahh! Che sta succedendo...?
SAY.gameLocalization.105.,,Hey little girl! It seems like {i}they{/i} started moving again.,やぁ嬢ちゃん！どうやら {i}あれ{/i}がまた動き出したみたいだぜ。,"Hey, bambina! Sembra che loro abbiano ricominciato a muoversi."
SAY.gameLocalization.104.,,...,…,…
SAY.gameLocalization.103.,,"Wait for me Asuka, i will save you now... my precious little friend!",待ってなさいアスカ、絶対探し出して見せるわ…私の大切な小さな友達！,"Aspettami Asuka, ti salverò…mia piccola amica!"
SAY.gameLocalization.239.,,"If you are going to play hide and seek , I wiil not give up until I find you...!",あ、もしかしてかくれんぼなの？もしそうなら絶対見つけるわ…！,"Se giocherai a nascondino, non mi arrenderò finché non ti trovo…!"
SAY.gameLocalization.100.,,You are such a meanie! You know I can't sleep without you...,もう！アスカのいじわる！あなたがいないと眠れないの知ってるくせに…,Sei proprio cattiva! Lo sai che non riesco ad addormentarmi senza di te…
SAY.gameLocalization.99.,,I'm scared... {i}They{/i} are going to come again...,怖いよ… {i}あれ{/i}がまた来ちゃうよ…,Ho paura! Loro…loro stanno arrivando di nuovo!
SAY.gameLocalization.98.,,You are my only and best friend... *sniffle* i'm so lonely...,私の唯一の親友だと思ってたのに…グスっ、一人は寂しいよ…,Sei la mia unica amica…mi sento così sola…
SAY.gameLocalization.97.,,"Asuka... don't leave me alone... where are you, Asuka?",アスカ…私を一人にしないで…どこにいるの、アスカ？,"Asuka…non lasciarmi sola…dove sei, Asuka?"
SAY.gameLocalization.96.,,"Weep, weep, snifle...",えーん、えーん、グスっ…,*pianto e singhiozzo*
SAY.gameLocalization.241.,,?!...,?!...,?!...
CHARACTER.Mysterious voice,,Mysterious voice,見知らぬ声,Voce Misteriosa
CHARACTER.Tofu,,Tofu,豆腐,Tofu
